"ID","GP","Tps_T_SVT-TC","Tps_T_SVT-TR","Tps_T_SVT-TI","Tps_T_SES-TC","Tps_T_SES-TR","Tps_T_SES-TI","Tps_RI_SES-TC","Tps_RI_SES-TR","Tps_RI_SES-TI","Tps_RI_SVT-TC","Tps_RI_SVT-TR","Tps_RI_SVT-TI","Tps_Xplo_SVT-TC","Tps_Xplo_SVT-TR","Tps_Xplo_SVT-TI","Tps_Xplo_SES-TC","Tps_Xplo_SES-TR","Tps_Xplo_SES-TI","Tps_XplR_SES-TC","Tps_XplR_SES-TR","Tps_XplR_SES-TI","Tps_XplR_SVT-TC","Tps_XplR_SVT-TR","Tps_XplR_SVT-TI","Tps_Co_SVT-TC","Tps_Co_SVT-TR","Tps_Co_SVT-TI","Tps_Co_SES-TC","Tps_Co_SES-TR","Tps_Co_SES-TI","FOK_SES-TC","FOK_SES-TR","FOK_SES-TI","FOK_SVT-TC","FOK_SVT-TR","FOK_SVT-TI","FOF_G_SVT-TC","FOF_G_SVT-TR","FOF_G_SVT-TI","FOF_G_SES-TC","FOF_G_SES-TR","FOF_G_SES-TI","FOF_R_SES-TC","FOF_R_SES-TR","FOF_R_SES-TI","FOF_R_SVT-TC","FOF_R_SVT-TR","FOF_R_SVT-TI","FOF_D_SVT-TC","FOF_D_SVT-TR","FOF_D_SVT-TI","FOF_D_SES-TC","FOF_D_SES-TR","FOF_D_SES-TI","NB_R_SES-TC","NB_R_SES-TR","NB_R_SES-TI","NB_R_SVT-TC","NB_R_SVT-TR","NB_R_SVT-TI","NB_D_SVT-TC","NB_D_SVT-TR","NB_D_SVT-TI","NB_D_SES-TC","NB_D_SES-TR","NB_D_SES-TI","Rel_SES-TC","Rel_SES-TR","Rel_SES-TI","Rel_SVT-TC","Rel_SVT-TR","Rel_SVT-TI","SW2a_SVT-TC","SW2a_SVT-TR","SW2a_SVT-TI","SW2a_SES-TC","SW2a_SES-TR","SW2a_SES-TI","SW2b_SES-TC","SW2b_SES-TR","SW2b_SES-TI","SW2b_SVT-TC","SW2b_SVT-TR","SW2b_SVT-TI","ZTps_T_SVT.TC","ZTps_T_SVT.TR","ZTps_T_SVT.TI","ZTps_T_SES.TC","ZTps_T_SES.TR","ZTps_T_SES.TI","ZTps_RI_SES.TC","ZTps_RI_SES.TR","ZTps_RI_SES.TI","ZTps_RI_SVT.TC","ZTps_RI_SVT.TR","ZTps_RI_SVT.TI","ZTps_Xplo_SVT.TC","ZTps_Xplo_SVT.TR","ZTps_Xplo_SVT.TI","ZTps_Xplo_SES.TC","ZTps_Xplo_SES.TR","ZTps_Xplo_SES.TI","ZTps_XplR_SES.TC","ZTps_XplR_SES.TR","ZTps_XplR_SES.TI","ZTps_XplR_SVT.TC","ZTps_XplR_SVT.TR","ZTps_XplR_SVT.TI","ZTps_Co_SVT.TC","ZTps_Co_SVT.TR","ZTps_Co_SVT.TI","ZTps_Co_SES.TC","ZTps_Co_SES.TR","ZTps_Co_SES.TI","ZFOK_SES.TC","ZFOK_SES.TR","ZFOK_SES.TI","ZFOK_SVT.TC","ZFOK_SVT.TR","ZFOK_SVT.TI","ZFOF_G_SVT.TC","ZFOF_G_SVT.TR","ZFOF_G_SVT.TI","FZOF_G_SES.TC","ZFOF_G_SES.TR","ZFOF_G_SES.TI","ZFOF_R_SES.TC","ZFOF_R_SES.TR","ZFOF_R_SES.TI","ZFOF_R_SVT.TC","ZFOF_R_SVT.TR","ZFOF_R_SVT.TI","ZFOF_D_SVT.TC","ZFOF_D_SVT.TR","ZFOF_D_SVT.TI","ZFOF_D_SES.TC","ZFOF_D_SES.TR","ZFOF_D_SES.TI","ZNB_R_SES.TC","ZNB_R_SES.TR","ZNB_R_SES.TI","ZNB_R_SVT.TC","ZNB_R_SVT.TR","ZNB_R_SVT.TI","ZNB_D_SVT.TC","ZNB_D_SVT.TR","ZNB_D_SVT.TI","ZNB_D_SES.TC","ZNB_D_SES.TR","ZNB_D_SES.TI","ZRel_SES.TC","ZRel_SES.TR","ZRel_SES.TI","ZRel_SVT.TC","ZRel_SVT.TR","ZRel_SVT.TI","ZSW2a_SVT.TC","ZSW2a_SVT.TR","ZSW2a_SVT.TI","ZSW2a_SES.TC","ZSW2a_SES.TR","ZSW2a_SES.TI","ZSW2b_SES.TC","ZSW2b_SES.TR","ZSW2b_SES.TI","ZSW2b_SVT.TC","ZSW2b_SVT.TR","ZSW2b_SVT.TI","LgTps_T_SVT.TC","LgTps_T_SVT.TR","LgTps_T_SVT.TI","LgTps_T_SES.TC","LgTps_T_SES.TR","LgTps_T_SES.TI","LgTps_RI_SES.TC","LgTps_RI_SES.TR","LgTps_RI_SES.TI","LgTps_RI_SVT.TC","LgTps_RI_SVT.TR","LgTps_RI_SVT.TI","LgTps_Xplo_SVT.TC","LgTps_Xplo_SVT.TR","LgTps_Xplo_SVT.TI","LgTps_Xplo_SES.TC","LgTps_Xplo_SES.TR","LgTps_Xplo_SES.TI","LgTps_XplR_SES.TC","LgTps_XplR_SES.TR","LgTps_XplR_SES.TI","LgTps_XplR_SVT.TC","LgTps_XplR_SVT.TR","LgTps_XplR_SVT.TI","LgTps_Co_SVT.TC","LgTps_Co_SVT.TR","LgTps_Co_SVT.TI","LgTps_Co_SES.TC","LgTps_Co_SES.TR","LgTps_Co_SES.TI"
"gagohes","ses",149700,999761,592104,175002,488100,186392,16999,208073,270267,25633,461309,273485,16499,280739,258269,13500.0,137318,258269,3499.0,70755,11998,9134,180570,15216,12000,37174,86135,15001.0,84000,18000,3,3,2,3,4,3,2,3,3,4,3,2,2,2,2,2,2,2,2,3,3,3,2,3,1,2,1,2,2,1,1,4,3,1,6,1,0,4,0,0,1,0,0,3,3,0,0,0,0,1,0,1,1,0,-0.672453972,2.55971489,0.95772748,-0.6719433253,0.03769373,-0.880614681,-0.72499951,0.331246293,1.03557799,-0.71896855,2.54556973,0.57690551,-0.70382811,1.68346898,0.89077236,-0.707668572,0.11215617,1.261962542,-0.561023868,0.8244288937,-0.484307395,-0.40923989,3.33508519,-0.55038577,-0.968560237,-0.2423918265,1.584411948,-0.95668188,0.664149234,-1.18410923,0.1212797,-0.3973956,-1.14885301,0.65962168,0.63098432,-0.1650354,-0.08531256,0.04135812,-0.3133741,0.57641061,-0.43728095,-1.11363,-0.04780094,-0.62152952,-0.9597347,0.399891,-0.2604555,-0.54955516,-0.1720928,-0.3554643,-0.5710103,-0.01143318,-1.1930263,-0.8569405,-0.3947468,0.3164554,-0.5353731,1.692453,0.2187616,-0.7289259,-0.6598728,0.6461099,0.05718722,-0.7067303,2.0845338,-0.8844506,-0.54649709,1.1121417,-0.8381284,-0.6492146,-0.07507412,-0.68567636,-0.6396733,0.8590956,0.8996148,-0.69482068,-0.7656813,-0.8657167,-0.3947468,0.3164554,-0.5353731,1.692453,0.2187616,-0.74451968,5.175222,5.999896,5.772398,5.243043,5.688509,5.270427,4.230423,5.318216,5.431793,4.408799,5.663992,5.436934,4.217458,5.448303,5.412072,4.130334,5.137727,5.412072,3.543944,4.849757,4.079109,3.960661,5.256646,4.1823,4.079181,4.570239,4.93518,4.17612,4.924279,4.255273
"inmofes","ses",96199,274900,260899,84401,475000,232900,26701,198765,64836,46003,195241,154731,43500,124550,139501,23601.0,74039,57331,3100.0,124726,7505,2503,70691,15230,11299,30001,43200,12001.0,19871,23499,1,4,5,2,4,5,2,3,5,1,4,5,2,3,5,6,6,6,1,4,6,1,4,5,1,2,1,1,2,2,2,5,4,2,3,1,1,4,0,0,4,1,1,3,2,0,2,0,0,1,0,0,1,1,-0.964121433,-0.36902857,-0.61691618,-0.997996319,0.01105524,-0.659028549,-0.65913253,0.256533949,-0.80807881,-0.47120496,0.25460081,-0.25707457,-0.32642541,0.02550272,-0.10572392,-0.628484554,-0.45562707,-0.706629059,-0.57457616,2.3710980273,-0.646442722,-0.76668248,0.65920902,-0.55004582,-1.003128058,-0.5266465534,0.002717011,-1.04079105,-1.160285837,-0.981029237,-0.9510883,0.1161618,0.46852665,0.01534004,0.63098432,0.9013472,-0.08531256,0.04135812,0.6615676,-0.93666724,0.05247371,0.3791081,-0.04780094,-0.02825134,0.5709814,4.0313335,2.2399172,1.97990419,-0.8291744,0.1421857,0.7994145,-0.97182072,-0.2942441,0.1498148,-0.3947468,0.3164554,-0.5353731,-0.2585692,0.2187616,-0.0343024,0.5054345,1.171866,0.57187224,0.1079727,0.2912216,-0.8844506,-0.01285876,1.1121417,-0.8381284,-0.6492146,1.62433089,-0.07534905,0.4013636,0.8590956,0.3023295,-0.69482068,0.4563151,-0.8657167,-0.3947468,0.3164554,-0.5353731,-0.2585692,0.2187616,-0.04328603,4.983171,5.439175,5.416472,4.926348,5.676694,5.367169,4.426528,5.29834,4.811816,4.662786,5.290571,5.189577,4.638489,5.095344,5.144577,4.37293,4.869461,4.75839,3.491362,5.095957,3.875351,3.398461,4.849364,4.1827,4.05304,4.477136,4.635484,4.079217,4.29822,4.371049
"jagufes","ses",210402,765799,344900,227198,413300,263200,40497,162348,131998,30175,438698,90001,23826,378027,79501,34499.0,146198,110997,5998.0,16150,21001,6349,60671,10500,16726,121129,34499,70501.0,70101,34501,3,3,4,2,4,3,2,4,3,3,4,6,2,3,6,1,3,3,2,5,5,3,5,6,1,2,1,1,2,1,2,2,1,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,-0.341529349,1.61440996,-0.21755131,-0.4841014466,-0.11440999,-0.514665003,-0.56547134,-0.035773681,-0.20532812,-0.66372347,2.35087853,-0.71165742,-0.601416,2.71619357,-0.60914047,-0.543052673,0.19183371,-0.180862719,-0.47614372,-0.7404090385,-0.159423276,-0.5593647,0.41519261,-0.66490138,-0.735510992,3.0846129958,-0.317821655,0.59933781,0.268730265,-0.574721531,0.1212797,-0.3973956,-0.07059991,0.01534004,0.63098432,-0.1650354,-0.08531256,0.62037174,-0.3133741,0.07205133,0.05247371,0.8766875,-0.04780094,-0.02825134,1.0812201,-0.5079696,0.3646377,0.08280968,-0.1720928,0.6398358,0.3426062,-0.01143318,0.1551469,0.6531924,-0.3947468,0.3164554,-0.5353731,-0.2585692,0.2187616,-0.7289259,0.5054345,-0.4054023,-0.9721828,-0.7067303,-0.3065491,-0.8844506,-0.54649709,-0.9052316,-0.8381284,-0.6492146,-0.64154245,-0.07534905,0.4013636,-0.3393067,-0.8922409,-0.69482068,-0.7656813,-0.8657167,-0.3947468,0.3164554,-0.5353731,-0.2585692,0.2187616,-0.74451968,5.32305,5.884115,5.537693,5.356405,5.616265,5.420286,4.607423,5.210447,5.120567,4.479647,5.642166,4.954247,4.377051,5.577523,4.900373,4.537807,5.164941,5.045311,3.778006,4.208173,4.32224,3.802705,4.782981,4.021189,4.223392,5.083248,4.537807,4.848195,4.845724,4.537832
"jarufes","ses",156000,125599,339699,172200,448199,229501,147199,244693,114092,87000,84395,107800,82499,70498,55301,141200.0,241696,88299,5999.0,2997,25793,4501,13897,52499,12000,24003,56300,10503.0,40502,18009,1,1,2,1,8,3,1,7,3,1,2,2,1,2,2,1,4,4,2,7,6,1,2,2,1,1,2,1,1,1,1,1,2,1,4,2,0,3,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,-0.638108726,-0.97226744,-0.24227835,-0.6820271046,-0.04344384,-0.675222995,0.15892968,0.625183339,-0.36602693,0.02744815,-0.69983467,-0.58665942,0.21867765,-0.54826619,-0.81218514,0.293400539,1.04870825,-0.403235252,-0.476109754,-1.1173399664,0.013501826,-0.65898073,-0.72389159,0.35493346,-0.968560237,-0.7643378752,0.485311717,-1.08278957,-0.57334514,-1.183776857,-0.9510883,-1.4245105,-1.14885301,-0.6289416,2.83942943,-0.1650354,-0.73679027,2.35741262,-0.3133741,-0.93666724,-0.92703562,-1.11363,-0.8508568,-0.62152952,-0.9597347,-0.5079696,0.9897308,0.71517452,-0.1720928,1.6351359,0.7994145,-0.97182072,-1.1930263,-1.3603182,-0.3947468,-0.6708854,0.5614889,-0.2585692,-0.6458675,-0.7289259,-0.6598728,-0.9311584,-0.45749779,-0.7067303,0.8889924,-0.209052,-0.54649709,0.6077984,-0.8381284,-0.6492146,-0.64154245,0.53497826,-0.6396733,-0.9385078,-0.2949557,-0.69482068,-0.7656813,-0.1385147,-0.3947468,-0.6708854,0.5614889,-0.2585692,-0.6458675,-0.74451968,5.193125,5.098986,5.531094,5.236033,5.651471,5.360785,5.167905,5.388622,5.057255,4.939519,4.926317,5.032619,4.916449,4.848177,4.742733,5.149835,5.383269,4.945956,3.778079,3.476687,4.411502,3.653309,4.142921,4.720151,4.079181,4.380266,4.750508,4.021313,4.607476,4.25549
"jugufes","ses",386700,616600,228301,281600,,411299,67101,,206029,256815,407402,51299,144200,376500,42000,46554.0,,191398,20547.0,,14631,16039,30902,9299,22959,66700,25001,25500.0,,28470,8,8,6,8,6,9,8,5,8,8,8,5,1,1,5,1,3,1,2,8,1,1,2,4,1,,1,1,3,0,2,7,2,2,,3,1,,4,0,7,0,2,3,2,1,,2,0,,0,0,2,-1,0.619581472,1.01158321,-0.77189643,-0.288320661,,0.190948753,-0.3848565,,0.45906896,2.09293533,2.08140545,-0.98345203,1.08109474,2.69998427,-0.9237842,-0.448550808,,0.606826684,0.018022458,,-0.389292413,-0.03702739,-0.30976992,-0.6940645,-0.42814833,0.9276771912,-0.667721236,-0.66232781,,-0.79744847,2.8021998,2.1703916,1.0076532,3.88102989,1.73520687,3.0341123,3.8235537,1.19938537,2.1239801,2.59384773,2.01149239,0.3791081,-0.8508568,-1.2148077,0.5709814,-0.5079696,0.3646377,-1.18191999,-0.1720928,2.132786,-1.4846269,-0.97182072,-1.1930263,-0.3535629,-0.3947468,,-0.5353731,-0.2585692,1.0833907,-1.4235495,0.5054345,2.2233781,-0.45749779,0.1079727,,0.4663467,-0.01285876,,1.698909,-0.6492146,3.32373589,-0.68567636,1.4424006,0.8590956,0.3023295,0.06399664,,0.5886874,-0.3947468,,-0.5353731,-0.2585692,1.0833907,-1.44575334,5.587374,5.790004,5.358508,5.449633,,5.614158,4.826729,,5.313928,5.40962,5.610023,4.710109,5.158965,5.575765,4.623249,4.667957,,5.281937,4.312748,,4.165274,4.205177,4.489987,3.968436,4.360953,4.824126,4.397957,4.40654,,4.454387
"lagifs","s",273799,826167,878228,335219,394908,386000,174343,166327,181826,91201,416232,391319,77925,261330,313466,138462.0,132349,171021,35881.0,33978,10805,13276,154902,77853,12321,73135,32112,20701.0,58325,38576,5,5,6,1,2,1,1,1,1,1,1,7,1,3,7,1,2,2,1,2,1,1,3,5,1,2,1,1,4,3,2,2,3,5,1,2,0,0,1,0,3,0,1,1,0,4,1,1,0,1,0,0,3,2,0.004087406,1.85832208,2.31804312,-0.0953577194,-0.1518096,0.070412338,0.34321058,-0.003835518,0.24185722,0.07854559,2.15743585,1.40442467,0.15474521,1.47743995,1.35389041,0.271936739,0.06757084,0.407193011,0.538851667,-0.2295047137,-0.52735824,-0.18596629,2.70999405,0.97058842,-0.952731035,1.1826861368,-0.405757041,-0.79687445,-0.066290512,-0.424230357,1.1936478,0.6297193,1.0076532,-0.6289416,-0.47323824,-1.2314179,-0.73679027,-1.11666914,-1.2883158,-0.93666724,-1.41679029,1.3742668,-0.8508568,-0.02825134,1.5914588,-0.5079696,-0.2604555,-0.54955516,-0.8291744,-0.8531144,-1.4846269,-0.97182072,-0.7436352,0.1498148,-0.3947468,0.3164554,-0.5353731,-0.2585692,1.9480198,0.6603211,0.5054345,-0.4054023,0.05718722,2.5520817,-0.9043198,-0.209052,-0.54649709,-0.9052316,-0.2038691,-0.6492146,1.05786255,-0.68567636,0.4013636,-0.3393067,-0.8922409,2.3404486,-0.1546831,-0.1385147,-0.3947468,0.3164554,-0.5353731,-0.2585692,1.9480198,0.65794763,5.437432,5.917068,5.943607,5.525329,5.596496,5.586587,5.241405,5.220963,5.259656,4.96,5.619335,5.592531,4.891677,5.417189,5.49619,5.141331,5.121721,5.233049,4.554865,4.531198,4.033625,4.123067,5.190057,4.891275,4.090646,4.864125,4.506667,4.315991,4.765855,4.586317
"leyafs","s",60001,194604,115800,142201,238200,234500,32701,56549,132000,13499,79100,39299,12001,68800,35999,26701.0,51000,106499,6000.0,5549,25501,1498,10300,3300,12002,58501,19499,17999.0,37251,14999,3,7,6,1,2,1,1,2,1,3,7,7,2,5,7,1,2,1,2,4,2,2,7,8,1,1,1,1,1,1,1,2,1,2,1,3,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,-1.161459403,-0.6934582,-1.30675848,-0.7899868816,-0.47047094,-0.651405392,-0.61839847,-0.884988469,-0.20531017,-0.86655634,-0.74542708,-1.06772507,-0.76669828,-0.56629068,-0.97413425,-0.604182954,-0.66234902,-0.22492967,-0.476075788,-1.0442062533,0.002964654,-0.82085678,-0.81148909,-0.83973438,-0.968461613,0.6027636954,-0.870411012,-0.87262878,-0.665834317,-1.294937209,0.1212797,1.6568341,1.0076532,-0.6289416,-0.47323824,-1.2314179,-0.73679027,-0.53765551,-1.2883158,0.07205133,1.52173772,1.3742668,-0.04780094,1.15830502,1.5914588,-0.5079696,-0.2604555,-1.18191999,-0.1720928,0.1421857,-1.0278186,-0.49162695,1.053929,1.6599477,-0.3947468,-0.6708854,-0.5353731,-0.2585692,-0.6458675,-0.7289259,-0.6598728,-0.4054023,-0.9721828,0.1079727,-0.9043198,0.4663467,-0.01285876,-0.9052316,-0.8381284,-0.6492146,-0.64154245,-0.68567636,-0.6396733,-0.3393067,-0.8922409,0.06399664,-0.7656813,0.5886874,-0.3947468,-0.6708854,-0.5353731,-0.2585692,-0.6458675,-0.74451968,4.778158,5.289152,5.063709,5.152903,5.376942,5.370143,4.514561,4.752425,5.120574,4.130302,4.898176,4.594381,4.079217,4.837588,4.55629,4.426528,4.70757,5.027346,3.778151,3.744215,4.406557,3.175512,4.012837,3.518514,4.079254,4.767163,4.290012,4.255248,4.571138,4.176062
"lobrfs","s",92200,527199,565800,207400,84801,225501,66200,26874,111501,33203,272779,269700,15000,185880,260999,56602.0,23301,100400,9598.0,3573,11101,18203,86899,8701,19500,64800,58500,16502.0,24927,70500,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,4,3,3,6,4,1,1,1,1,2,1,1,2,1,2,1,2,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,1,0,-0.985922486,0.65036555,0.83267071,-0.5553500771,-0.78240353,-0.694280888,-0.3909734,-1.123180218,-0.38928007,-0.62689342,0.92223896,0.55032439,-0.72478018,0.67652853,0.91367781,-0.369782269,-0.91088373,-0.284681634,-0.353867395,-1.1008332976,-0.516676723,0.07962255,1.05392139,-0.70858535,-0.598719074,0.8523831746,0.566358156,-0.91459926,-1.016445395,0.754734124,-0.9510883,-1.4245105,-1.68797956,-0.6289416,-1.02534952,-1.2314179,-0.73679027,-1.11666914,-1.2883158,-0.93666724,-1.41679029,-1.11363,-0.8508568,-1.2148077,-0.9597347,-0.5079696,-0.8855487,-1.18191999,-0.8291744,0.1421857,-0.5710103,-0.01143318,0.604538,-0.3535629,-0.3947468,-0.6708854,-0.5353731,-0.2585692,0.2187616,-0.7289259,-0.6598728,-0.4054023,-0.9721828,0.1079727,-0.9043198,-0.209052,-0.54649709,-0.9052316,-0.8381284,-0.6492146,0.49139422,-0.68567636,-0.6396733,-0.3393067,-0.8922409,0.06399664,-0.7656813,-0.1385147,-0.3947468,-0.6708854,-0.5353731,-0.2585692,0.2187616,-0.74451968,4.964731,5.721975,5.752663,5.316809,4.928401,5.353148,4.820858,4.429332,5.047279,4.521177,5.435811,5.430881,4.176091,5.269233,5.416639,4.752832,4.367375,5.001734,3.982181,3.553033,4.045362,4.260143,4.939015,3.939569,4.290035,4.811575,4.767156,4.217537,4.39667,4.848189
"macofs","s",344950,773187,695787,273305,336697,224243,74331,171795,107146,159601,154747,355575,142851,135038,324690,47150.0,148958,92547,27181.0,22837,14599,16750,19709,30885,24449,101599,96000,44374.0,48479,82752,2,5,6,1,3,2,1,3,4,1,5,6,1,3,6,1,2,2,2,4,5,2,6,6,1,1,1,1,1,1,2,5,4,2,2,1,0,0,0,0,0,0,1,4,3,2,2,0,0,0,0,0,0,0,0.391976072,1.64426059,1.45066623,-0.3181725344,-0.27018005,-0.700274596,-0.33577195,0.040054371,-0.42836436,0.9105058,-0.09407131,1.15340336,1.06223928,0.13683418,1.44806286,-0.44387863,0.21659835,-0.361617554,0.243350551,-0.5487769305,-0.390447172,0.00129891,-0.58235233,-0.16990547,-0.354673219,2.3106697622,1.947831548,-0.13316897,-0.346403841,1.207204767,-0.4149043,0.6297193,1.0076532,-0.6289416,0.07887304,-0.6982267,-0.73679027,0.04135812,0.1740967,-0.93666724,0.54222838,0.8766875,-0.8508568,-0.02825134,1.0812201,-0.5079696,-0.2604555,-0.54955516,-0.1720928,0.1421857,0.3426062,-0.49162695,0.604538,0.6531924,-0.3947468,-0.6708854,-0.5353731,-0.2585692,-0.6458675,-0.7289259,0.5054345,1.171866,0.57187224,0.1079727,-0.3065491,-0.8844506,-0.54649709,-0.9052316,-0.8381284,-0.6492146,-0.64154245,-0.68567636,0.4013636,1.4582967,0.8996148,0.82281396,0.4563151,-0.8657167,-0.3947468,-0.6708854,-0.5353731,-0.2585692,-0.6458675,-0.74451968,5.537756,5.888285,5.842476,5.436648,5.527239,5.350719,4.87117,5.235011,5.029976,5.203036,5.189622,5.550931,5.154883,5.130456,5.511469,4.673482,5.173064,4.966362,4.434265,4.358639,4.164323,4.224015,4.294665,4.489748,4.388261,5.006889,4.982271,4.647129,4.685554,4.917778
"madefes","ses",189301,194100,310701,169118,723101,668599,16501,303703,306599,50198,94498,78802,33899,86999,74302,13502.0,264205,274800,2999.0,39498,31799,16299,7499,4500,12001,42001,33001,62619.0,39000,45599,5,3,3,2,3,7,2,3,7,3,4,5,2,2,5,1,2,3,2,3,6,3,4,4,1,2,2,1,1,1,1,1,1,1,2,3,0,0,2,1,0,1,0,0,0,0,1,2,0,1,1,0,0,0,-0.456564117,-0.69549457,-0.38014317,-0.6931185421,0.5155617,1.416847775,-0.72838044,1.098837765,1.3616424,-0.4201805,-0.61284315,-0.79030523,-0.46062205,-0.37310596,-0.65276151,-0.707652893,1.25067467,1.423916914,-0.578006691,-0.0713158045,0.230235583,-0.02301215,-0.87970167,-0.81059555,-0.968510925,-0.051105396,-0.373006912,0.37835498,-0.616076221,-0.164868511,1.1936478,-0.3973956,-0.60972646,0.01534004,0.07887304,1.9677297,-0.08531256,0.04135812,1.6365092,0.07205133,0.05247371,0.3791081,-0.04780094,-0.62152952,0.5709814,-0.5079696,-0.2604555,0.08280968,-0.1720928,-0.3554643,0.7994145,-0.01143318,-0.2942441,-0.3535629,-0.3947468,0.3164554,0.5614889,-0.2585692,-0.6458675,-0.7289259,-0.6598728,-0.9311584,-0.9721828,-0.7067303,-0.3065491,0.4663467,-0.54649709,-0.9052316,0.4303903,0.5754403,-0.64154245,-0.07534905,-0.6396733,-0.9385078,-0.8922409,-0.69482068,-0.1546831,0.5886874,-0.3947468,0.3164554,0.5614889,-0.2585692,-0.6458675,-0.74451968,5.277153,5.288026,5.492343,5.22819,5.859199,5.825166,4.21751,5.482449,5.486571,4.700686,4.975423,4.896537,4.530187,4.939514,4.871001,4.130398,5.421941,5.439017,3.476976,4.596575,4.502413,4.212161,3.875003,3.653213,4.079217,4.62326,4.518527,4.796706,4.591065,4.658955
"magofs","s",152696,242252,261527,191253,415728,129953,65298,186127,72708,38227,89061,104206,33318,75813,95987,60282.0,156237,69918,5016.0,29890,2790,4909,13248,8219,18570,39991,50255,10269.0,131876,22474,1,3,6,2,4,9,2,3,9,2,5,9,1,6,9,1,2,5,1,4,5,1,5,5,1,1,1,1,1,1,1,1,1,2,1,1,0,8,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.656120899,-0.50094023,-0.61393048,-0.6134595647,-0.10947272,-1.149516799,-0.39709709,0.155092759,-0.73743093,-0.5657857,-0.65965825,-0.6118992,-0.46874289,-0.49184679,-0.47081838,-0.340933919,0.28191061,-0.583314093,-0.509497984,-0.3466562102,-0.816589186,-0.63698758,-0.73969664,-0.72028945,-0.644579379,-0.1307585399,0.262618206,-1.08935008,2.026195319,-1.018882846,-0.9510883,-0.3973956,1.0076532,0.01534004,0.63098432,3.0341123,-0.08531256,0.04135812,2.6114509,-0.43230795,0.54222838,2.3694256,-0.8508568,1.7515832,2.6119362,-0.5079696,-0.2604555,1.34753936,-0.8291744,0.1421857,0.3426062,-0.97182072,0.1551469,0.1498148,-0.3947468,-0.6708854,-0.5353731,-0.2585692,-0.6458675,-0.7289259,-0.6598728,-0.9311584,-0.9721828,0.1079727,-0.9043198,-0.8844506,-0.54649709,3.129515,-0.2038691,-0.6492146,-0.07507412,-0.68567636,-0.6396733,-0.9385078,-0.8922409,0.06399664,-0.7656813,-0.8657167,-0.3947468,-0.6708854,-0.5353731,-0.2585692,-0.6458675,-0.74451968,5.183828,5.384267,5.417517,5.281608,5.618809,5.113786,4.8149,5.269809,4.861582,4.58237,4.949688,5.017893,4.522679,4.879744,4.982212,4.780188,5.193784,4.844589,3.700358,4.475526,3.445604,3.690993,4.12215,3.914819,4.268812,4.601962,4.701179,4.011528,5.120166,4.35168
"masahes","ses",87200,360398,,94098,186727,179616,8657,33344,10785,11426,217549,,7281,137802,,7558.0,16672,8459,1099.0,16672,2326,4145,79747,,10079,19500,,47000.0,45352,59045,1,4,5,1,5,2,3,5,7,7,5,5,2,5,5,1,4,2,1,8,3,2,8,8,1,2,1,1,1,,1,2,,1,2,1,0,0,0,0,3,,1,4,,0,0,0,0,1,0,0,0,,-1.013180618,-0.02358067,,-0.9630989571,-0.57513985,-0.912898753,-0.78163344,-1.071247594,-1.2931638,-0.89177058,0.44668304,,-0.83267142,0.1661744,,-0.75424925,-0.97036373,-1.185428532,-0.642541417,-0.7254498699,-0.833333186,-0.67817083,0.8797492,,-1.063288887,-0.9427846945,,-0.05954541,-0.435365285,0.331696969,-0.9510883,0.1161618,0.46852665,-0.6289416,1.18309559,-0.6982267,0.56616515,1.19938537,1.6365092,2.08948845,0.54222838,0.3791081,-0.04780094,1.15830502,0.5709814,-0.5079696,0.9897308,-0.54955516,-0.8291744,2.132786,-0.5710103,-0.49162695,1.5033201,1.6599477,-0.3947468,0.3164554,-0.5353731,-0.2585692,-0.6458675,,-0.6598728,-0.4054023,,-0.7067303,-0.3065491,-0.8844506,-0.54649709,-0.9052316,-0.8381284,-0.6492146,1.05786255,,0.4013636,1.4582967,,-0.69482068,-0.7656813,-0.8657167,-0.3947468,0.3164554,-0.5353731,-0.2585692,-0.6458675,,4.940516,5.556782,,4.97358,5.271207,5.254345,3.937367,4.523018,4.03282,4.057894,5.337557,,3.862191,5.139256,,3.878407,4.221988,3.927319,3.040998,4.221988,3.36661,3.617525,4.901714,,4.003417,4.290035,,4.672098,4.656596,4.771183
